code,secode,name
600323,2010000287,瀚蓝环境
600335,2010000297,国机汽车
600337,2010000299,美克家居
600340,2010000302,华夏幸福
600356,2010000314,恒丰纸业
600365,2010000322,通葡股份
600367,2010000324,红星发展
600370,2010000327,三房巷
600375,2010000331,*ST星马
600379,2010000335,宝光股份
600392,2010000347,盛和资源
600401,2010000355,海润光伏
600405,2010000357,动力源
600408,2010000359,安泰集团
600422,2010000368,昆药集团
600425,2010000370,青松建化
600428,2010000372,中远航运
600436,2010000377,片仔癀
600456,2010000386,宝钛股份
600458,2010000387,时代新材
600470,2010000397,六国化工
600512,2010000432,腾达建设
600517,2010000436,置信电气
600526,2010000444,菲达环保
600528,2010000446,中铁二局
600536,2010000453,中国软件
600545,2010000459,新疆城建
600556,2010000469,ST慧球
600002,2010000003,齐鲁石化
600008,2010000009,首创股份
600010,2010000011,包钢股份
600012,2010000013,皖通高速
600029,2010000025,南方航空
600036,2010000030,招商银行
600050,2010000035,中国联通
600080,2010000065,金花股份
600108,2010000093,亚盛集团
600112,2010000097,天成控股
600123,2010000108,兰花科创
600127,2010000111,金健米业
600133,2010000117,东湖高新
600162,2010000140,香江控股
600170,2010000147,上海建工
600181,2010000157,S*ST云大
600201,2010000176,生物股份
600209,2010000183,罗顿发展
600218,2010000191,全柴动力
600219,2010000192,南山铝业
600234,2010000206,*ST山水
600239,2010000211,云南城投
600558,2010000471,大西洋
600567,2010000479,山鹰纸业
600570,2010000482,恒生电子
600579,2010000490,天华院
600585,2010000496,海螺水泥
600587,2010000498,新华医疗
600588,2010000499,用友网络
600604,2010000515,市北高新
600606,2010000517,绿地控股
600614,2010000525,鼎立股份
600621,2010000532,华鑫股份
600628,2010000539,新世界
600629,2010000540,华建集团
600630,2010000541,龙头股份
600631,2010000542,百联股份
600632,2010000543,华联商厦
600640,2010000551,号百控股
600643,2010000554,爱建集团
600645,2010000556,中源协和
600653,2010000564,申华控股
600685,2010000596,中船防务
600710,2010000621,*ST常林
600712,2010000623,南宁百货
600723,2010000634,首商股份
600740,2010000651,山西焦化
600749,2010000660,西藏旅游
600762,2010000673,S*ST金荔
600771,2010000682,广誉远
600800,2010000711,天津磁卡
600808,2010000719,马钢股份
600816,2010000727,安信信托
600818,2010000729,中路股份
600822,2010000733,上海物贸
600824,2010000735,益民集团
600828,2010000739,茂业商业
600842,2010000753,中西药业
600000,2010000001,浦发银行
600006,2010000007,东风汽车
600016,2010000015,民生银行
600021,2010000020,上海电力
600033,2010000028,福建高速
600051,2010000036,宁波联合
600054,2010000039,黄山旅游
600058,2010000043,五矿发展
600060,2010000045,海信电器
600072,2010000057,钢构工程
600073,2010000058,上海梅林
600084,2010000069,中葡股份
600097,2010000082,开创国际
600111,2010000096,北方稀土
600120,2010000105,浙江东方
600136,2010000119,当代明诚
600138,2010000121,中青旅
600145,2010000125,*ST新亿
600243,2010000215,青海华鼎
600266,2010000234,北京城建
600273,2010000241,嘉化能源
600280,2010000247,中央商场
600282,2010000249,南钢股份
600298,2010000264,安琪酵母
600305,2010000270,恒顺醋业
600310,2010000275,桂东电力
600312,2010000277,平高电气
600325,2010000288,华发股份
600332,2010000295,白云山
600348,2010000306,阳泉煤业
600353,2010000311,旭光股份
600369,2010000326,西南证券
600382,2010000338,广东明珠
600387,2010000342,海越股份
600389,2010000344,江山股份
600426,2010000371,华鲁恒升
600439,2010000379,瑞贝卡
600448,2010000382,华纺股份
600462,2010000391,九有股份
600488,2010000411,天药股份
600491,2010000414,龙元建设
600498,2010000419,烽火通信
600520,2010000439,*ST中发
600538,2010000455,国发股份
600559,2010000472,老白干酒
600565,2010000477,迪马股份
600575,2010000486,皖江物流
600582,2010000493,天地科技
600592,2010000503,龙溪股份
600603,2010000514,*ST兴业
600607,2010000518,上实医药
600615,2010000526,丰华股份
600618,2010000529,氯碱化工
600622,2010000533,嘉宝集团
600646,2010000557,ST国嘉
600172,2010000149,黄河旋风
600202,2010000177,哈空调
600213,2010000187,亚星客车
600217,2010000190,中再资环
600227,2010000199,赤天化
600230,2010000202,*ST沧大
600249,2010000219,两面针
600271,2010000239,航天信息
600276,2010000243,恒瑞医药
600286,2010000253,S*ST国瓷
600292,2010000259,远达环保
600299,2010000265,安迪苏
600315,2010000279,上海家化
600321,2010000285,国栋建设
600330,2010000293,天通股份
600331,2010000294,宏达股份
600352,2010000310,浙江龙盛
600363,2010000321,联创光电
600395,2010000349,盘江股份
600397,2010000351,安源煤业
600403,2010000356,大有能源
600416,2010000363,湘电股份
600418,2010000364,江淮汽车
600446,2010000381,金证股份
600452,2010000384,涪陵电力
600461,2010000390,洪城水业
600466,2010000393,蓝光发展
600468,2010000395,百利电气
600469,2010000396,风神股份
600478,2010000402,科力远
600489,2010000412,中金黄金
600493,2010000415,凤竹纺织
600499,2010000420,科达洁能
600505,2010000425,西昌电力
600506,2010000426,香梨股份
600508,2010000428,上海能源
600515,2010000434,海航基础
600846,2010000757,同济科技
600853,2010000764,龙建股份
600865,2010000776,百大集团
600873,2010000784,梅花生物
600961,2010000813,株冶集团
600969,2010000819,郴电国际
600984,2010000831,建设机械
601009,2010000849,南京银行
601390,2010000860,中国中铁
601628,2010000865,中国人寿
601666,2010000866,平煤股份
